Date;Open;High;Low;Close;Volume;Dividends;Stock Splits;Daily Return
2020-10-02 00:00:00-04:00;110,08;112,50;109,43;110,21;144712000;0,00;0,00;-3,23%
2020-10-05 00:00:00-04:00;111,07;113,75;110,72;113,60;106243800;0,00;0,00;3,08%
2020-10-06 00:00:00-04:00;112,82;113,23;109,45;110,34;161498200;0,00;0,00;-2,87%
2020-10-07 00:00:00-04:00;111,77;112,67;111,29;112,21;96849000;0,00;0,00;1,70%
2020-10-08 00:00:00-04:00;113,36;113,50;111,74;112,11;83477200;0,00;0,00;-0,10%
2020-10-09 00:00:00-04:00;112,41;114,09;112,06;114,06;100506900;0,00;0,00;1,74%
2020-10-12 00:00:00-04:00;117,07;122,06;116,31;121,30;240226800;0,00;0,00;6,35%
2020-10-13 00:00:00-04:00;122,15;122,27;116,67;118,08;262330500;0,00;0,00;-2,65%
2020-10-14 00:00:00-04:00;117,99;119,97;116,64;118,17;150712000;0,00;0,00;0,07%
2020-10-15 00:00:00-04:00;115,76;118,18;115,21;117,70;112559200;0,00;0,00;-0,40%
2020-10-16 00:00:00-04:00;118,26;118,52;115,85;116,06;115393800;0,00;0,00;-1,40%
2020-10-19 00:00:00-04:00;116,97;117,42;112,78;113,09;120639300;0,00;0,00;-2,55%
2020-10-20 00:00:00-04:00;113,31;116,02;112,75;114,58;124423700;0,00;0,00;1,32%
2020-10-21 00:00:00-04:00;113,76;115,75;113,55;113,96;89946000;0,00;0,00;-0,54%
2020-10-22 00:00:00-04:00;114,53;115,10;111,74;112,87;101988000;0,00;0,00;-0,96%
2020-10-23 00:00:00-04:00;113,49;113,65;111,43;112,18;82572600;0,00;0,00;-0,61%
2020-10-26 00:00:00-04:00;111,17;113,65;110,07;112,19;111850700;0,00;0,00;0,01%
2020-10-27 00:00:00-04:00;112,61;114,36;111,69;113,70;92276800;0,00;0,00;1,35%
2020-10-28 00:00:00-04:00;112,19;112,56;108,33;108,43;143937800;0,00;0,00;-4,63%
2020-10-29 00:00:00-04:00;109,57;114,02;109,41;112,45;146129200;0,00;0,00;3,71%
2020-10-30 00:00:00-04:00;108,29;109,20;105,04;106,15;190272600;0,00;0,00;-5,60%
2020-11-02 00:00:00-05:00;106,39;107,92;104,65;106,06;122866900;0,00;0,00;-0,08%
2020-11-03 00:00:00-05:00;106,93;108,71;106,02;107,69;107624400;0,00;0,00;1,54%
2020-11-04 00:00:00-05:00;111,30;112,71;109,55;112,09;138235500;0,00;0,00;4,08%
2020-11-05 00:00:00-05:00;115,01;116,64;113,96;116,07;126387100;0,00;0,00;3,55%
2020-11-06 00:00:00-05:00;115,57;116,43;113,43;115,93;114457900;0,20;0,00;-0,11%
2020-11-09 00:00:00-05:00;117,70;119,16;113,36;113,62;154515300;0,00;0,00;-2,00%
2020-11-10 00:00:00-05:00;112,87;114,86;111,48;113,28;138023400;0,00;0,00;-0,30%
2020-11-11 00:00:00-05:00;114,47;116,85;113,74;116,72;112295000;0,00;0,00;3,04%
2020-11-12 00:00:00-05:00;116,84;117,73;115,82;116,44;103162300;0,00;0,00;-0,23%
2020-11-13 00:00:00-05:00;116,67;116,89;115,13;116,49;81581900;0,00;0,00;0,04%
2020-11-16 00:00:00-05:00;116,16;118,18;115,41;117,51;91183000;0,00;0,00;0,87%
2020-11-17 00:00:00-05:00;116,77;117,87;116,20;116,62;74271000;0,00;0,00;-0,76%
